                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31007,                0.88463,                      1,                0.43251,               0.003333,               0.003333,               0.003333
                      2,                0.23978,                0.88062,                      1,                0.43914,              0.0066003,              0.0066003,              0.0066003
                      3,                0.24806,                0.87054,                      1,                0.44747,              0.0098017,              0.0098017,              0.0098017
                      4,                0.25304,                 0.8701,                      1,                0.44949,               0.009703,               0.009703,               0.009703
                      5,                0.22891,                0.87181,                      1,                0.44759,               0.009703,               0.009703,               0.009703
                      6,                0.22152,                0.87504,                      1,                0.44553,               0.009604,               0.009604,               0.009604
                      7,                0.22098,                0.87837,                      1,                0.44412,               0.009505,               0.009505,               0.009505
                      8,                0.22154,                0.87798,                      1,                0.44525,               0.009406,               0.009406,               0.009406
                      9,                0.22129,                0.87705,                      1,                0.44688,               0.009307,               0.009307,               0.009307
                     10,                0.22091,                0.87627,                      1,                0.44819,               0.009208,               0.009208,               0.009208
                     11,                0.22108,                 0.8749,                      1,                0.44943,               0.009109,               0.009109,               0.009109
                     12,                0.21978,                0.87431,                      1,                0.44968,                0.00901,                0.00901,                0.00901
                     13,                0.21931,                0.87622,                      1,                0.44875,               0.008911,               0.008911,               0.008911
                     14,                0.21882,                0.87925,                      1,                0.44768,               0.008812,               0.008812,               0.008812
                     15,                0.21679,                0.88126,                      1,                0.44615,               0.008713,               0.008713,               0.008713
                     16,                0.21484,                0.88287,                      1,                 0.4449,               0.008614,               0.008614,               0.008614
                     17,                0.21551,                0.88263,                      1,                0.44406,               0.008515,               0.008515,               0.008515
                     18,                0.21583,                  0.884,                      1,                0.44253,               0.008416,               0.008416,               0.008416
                     19,                0.21455,                0.88576,                      1,                0.44083,               0.008317,               0.008317,               0.008317
                     20,                0.21495,                0.88586,                      1,                0.43996,               0.008218,               0.008218,               0.008218
                     21,                0.21397,                0.88679,                      1,                0.43912,               0.008119,               0.008119,               0.008119
                     22,                 0.2146,                0.88551,                      1,                0.43942,                0.00802,                0.00802,                0.00802
                     23,                0.21281,                0.88576,                      1,                0.43886,               0.007921,               0.007921,               0.007921
                     24,                0.21206,                0.88639,                      1,                0.43798,               0.007822,               0.007822,               0.007822
                     25,                0.21084,                0.88791,                      1,                0.43719,               0.007723,               0.007723,               0.007723
                     26,                0.21017,                0.88923,                      1,                0.43627,               0.007624,               0.007624,               0.007624
                     27,                 0.2108,                0.88933,                      1,                0.43599,               0.007525,               0.007525,               0.007525
                     28,                0.21037,                0.88815,                      1,                0.43597,               0.007426,               0.007426,               0.007426
                     29,                0.20908,                0.88835,                      1,                0.43546,               0.007327,               0.007327,               0.007327
                     30,                0.20852,                0.88747,                      1,                0.43595,               0.007228,               0.007228,               0.007228
                     31,                0.20635,                0.88576,                      1,                0.43658,               0.007129,               0.007129,               0.007129
                     32,                0.20721,                 0.8862,                      1,                0.43662,                0.00703,                0.00703,                0.00703
                     33,                0.20702,                 0.8861,                      1,                0.43619,               0.006931,               0.006931,               0.006931
                     34,                0.20472,                0.88551,                      1,                0.43573,               0.006832,               0.006832,               0.006832
                     35,                0.20413,                0.88409,                      1,                0.43589,               0.006733,               0.006733,               0.006733
                     36,                0.20499,                0.88287,                      1,                0.43696,               0.006634,               0.006634,               0.006634
                     37,                0.20332,                0.88405,                      1,                0.43605,               0.006535,               0.006535,               0.006535
                     38,                0.20204,                 0.8861,                      1,                0.43522,               0.006436,               0.006436,               0.006436
                     39,                0.20152,                0.88493,                      1,                0.43522,               0.006337,               0.006337,               0.006337
                     40,                0.20023,                0.88566,                      1,                0.43487,               0.006238,               0.006238,               0.006238
                     41,                0.19926,                0.88586,                      1,                0.43439,               0.006139,               0.006139,               0.006139
                     42,                0.19924,                0.88429,                      1,                0.43497,                0.00604,                0.00604,                0.00604
                     43,                  0.198,                0.88586,                      1,                0.43397,               0.005941,               0.005941,               0.005941
                     44,                0.19889,                0.88698,                      1,                0.43384,               0.005842,               0.005842,               0.005842
                     45,                0.19813,                0.88908,                      1,                0.43322,               0.005743,               0.005743,               0.005743
                     46,                0.19605,                0.89094,                      1,                0.43231,               0.005644,               0.005644,               0.005644
                     47,                0.19531,                0.89187,                      1,                0.43167,               0.005545,               0.005545,               0.005545
                     48,                0.19538,                0.89065,                      1,                0.43256,               0.005446,               0.005446,               0.005446
                     49,                0.19545,                 0.8906,                      1,                0.43263,               0.005347,               0.005347,               0.005347
                     50,                 0.1934,                0.89089,                      1,                0.43229,               0.005248,               0.005248,               0.005248
                     51,                0.19173,                0.89143,                      1,                0.43181,               0.005149,               0.005149,               0.005149
                     52,                0.19194,                0.89055,                      1,                0.43198,                0.00505,                0.00505,                0.00505
                     53,                0.19233,                0.89163,                      1,                0.43154,               0.004951,               0.004951,               0.004951
                     54,                 0.1905,                0.89212,                      1,                0.43094,               0.004852,               0.004852,               0.004852
                     55,                 0.1895,                0.89129,                      1,                0.43061,               0.004753,               0.004753,               0.004753
                     56,                0.19035,                 0.8907,                      1,                0.43108,               0.004654,               0.004654,               0.004654
                     57,                0.18875,                0.89226,                      1,                0.43048,               0.004555,               0.004555,               0.004555
                     58,                0.18851,                0.89217,                      1,                0.43106,               0.004456,               0.004456,               0.004456
                     59,                0.18727,                0.89329,                      1,                0.43023,               0.004357,               0.004357,               0.004357
                     60,                0.18626,                 0.8931,                      1,                0.43017,               0.004258,               0.004258,               0.004258
                     61,                0.18552,                0.89305,                      1,                0.42964,               0.004159,               0.004159,               0.004159
                     62,                0.18503,                  0.893,                      1,                0.43013,                0.00406,                0.00406,                0.00406
                     63,                0.18447,                0.89275,                      1,                 0.4297,               0.003961,               0.003961,               0.003961
                     64,                0.18293,                0.89393,                      1,                0.42925,               0.003862,               0.003862,               0.003862
                     65,                0.18376,                0.89398,                      1,                0.42896,               0.003763,               0.003763,               0.003763
                     66,                 0.1825,                0.89368,                      1,                0.42918,               0.003664,               0.003664,               0.003664
                     67,                0.18147,                  0.893,                      1,                0.42961,               0.003565,               0.003565,               0.003565
                     68,                0.18026,                0.89339,                      1,                0.42901,               0.003466,               0.003466,               0.003466
                     69,                0.17837,                0.89408,                      1,                0.42883,               0.003367,               0.003367,               0.003367
                     70,                0.17746,                0.89603,                      1,                0.42771,               0.003268,               0.003268,               0.003268
                     71,                0.17828,                0.89672,                      1,                0.42682,               0.003169,               0.003169,               0.003169
                     72,                0.17568,                0.89427,                      1,                0.42782,                0.00307,                0.00307,                0.00307
                     73,                0.17411,                0.89329,                      1,                0.42857,               0.002971,               0.002971,               0.002971
                     74,                0.17337,                0.89305,                      1,                0.42847,               0.002872,               0.002872,               0.002872
                     75,                 0.1733,                0.89383,                      1,                0.42795,               0.002773,               0.002773,               0.002773
                     76,                0.17166,                0.89344,                      1,                0.42831,               0.002674,               0.002674,               0.002674
                     77,                0.17159,                  0.893,                      1,                0.42793,               0.002575,               0.002575,               0.002575
                     78,                 0.1705,                0.89329,                      1,                0.42754,               0.002476,               0.002476,               0.002476
                     79,                0.16957,                0.89363,                      1,                0.42719,               0.002377,               0.002377,               0.002377
                     80,                0.16902,                0.89398,                      1,                0.42709,               0.002278,               0.002278,               0.002278
                     81,                0.16695,                0.89452,                      1,                0.42667,               0.002179,               0.002179,               0.002179
                     82,                0.16414,                0.89481,                      1,                0.42659,                0.00208,                0.00208,                0.00208
                     83,                0.16343,                0.89432,                      1,                0.42675,               0.001981,               0.001981,               0.001981
                     84,                0.16187,                0.89447,                      1,                0.42634,               0.001882,               0.001882,               0.001882
                     85,                0.16051,                0.89427,                      1,                0.42616,               0.001783,               0.001783,               0.001783
                     86,                0.15967,                0.89383,                      1,                0.42626,               0.001684,               0.001684,               0.001684
                     87,                0.16016,                0.89452,                      1,                0.42611,               0.001585,               0.001585,               0.001585
                     88,                0.15689,                0.89471,                      1,                0.42546,               0.001486,               0.001486,               0.001486
                     89,                 0.1558,                0.89603,                      1,                0.42456,               0.001387,               0.001387,               0.001387
                     90,                 0.1562,                0.89691,                      1,                 0.4237,               0.001288,               0.001288,               0.001288
                     91,                0.15088,                0.89633,                      1,                0.42355,               0.001189,               0.001189,               0.001189
                     92,                 0.1505,                0.89735,                      1,                 0.4229,                0.00109,                0.00109,                0.00109
                     93,                0.14998,                0.89691,                      1,                0.42273,               0.000991,               0.000991,               0.000991
                     94,                0.14585,                0.89716,                      1,                0.42216,               0.000892,               0.000892,               0.000892
                     95,                0.14455,                0.89843,                      1,                0.42155,               0.000793,               0.000793,               0.000793
                     96,                0.14271,                0.89848,                      1,                0.42127,               0.000694,               0.000694,               0.000694
                     97,                0.13983,                 0.8973,                      1,                 0.4216,               0.000595,               0.000595,               0.000595
                     98,                0.13814,                0.89681,                      1,                0.42184,               0.000496,               0.000496,               0.000496
                     99,                0.13405,                0.89823,                      1,                0.42107,               0.000397,               0.000397,               0.000397
                    100,                0.13241,                0.89823,                      1,                0.42087,               0.000298,               0.000298,               0.000298
